X,Y,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Meninggal,Month,Year,Month_Year,PROX_ATTRACTION,PROX_WORSHIP,PROX_RESTAURANT,PROX_MALL,PROX_SUPERMARKET,PROX_CONVENIENCE,PROX_KINDERGARTENS,PROX_SCHOOL,PROX_TERMINAL,PROX_HEALTHCARE,PROX_RAILWAYS
-3627128.97677243,692083.510311368,25477,3173031006,KEAGUNGAN,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,1211,13,Okt,2021,Okt_2021,0.538239655567848,1.05038749796395,0.345592988645499,0.372067861822002,0.600421215280236,0.334637730702339,0.170838685005828,0.669980973060006,20.7412309761014,0.638543635647601,6.67437916569382
-3627326.75158001,692881.097037157,25478,3173031007,GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,806,18,Okt,2021,Okt_2021,0.402897507808186,0.390065771390605,0.257172040333947,1.02837918179085,0.433303691358495,0.17254079262815,0.187559851699684,1.13149687107061,20.5005165203292,0.952998985695779,7.49482615807243
-3621508.54617087,689924.954624286,25397,3171031003,HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,1946,40,Okt,2021,Okt_2021,1.4805683476399,1.96095044282162,0.883260525864222,2.70812514025023,1.37252644941562,0.515389372366864,0.0842851336577298,2.01824402524578,26.5616761912617,1.72643880610367,5.29290765441847
-3620624.2519965,690303.155736008,25400,3171031006,CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,3020,66,Okt,2021,Okt_2021,1.79198301023142,2.88537450159886,1.0822043967388,1.8678659969745,1.84325364490665,1.15399728178228,0.279429336375651,2.53246643608646,27.3896288344177,0.894000935049005,5.8065483660772
-3624360.52626085,690316.267361694,25390,3171021001,PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1646,25,Okt,2021,Okt_2021,0.21115232708022,1.27026779824533,0.120864071376945,0.67152466840032,2.16701888911558,0.332428921144568,0.265757377380061,0.333586144261694,23.6829857307947,1.44618865829248,4.97586036266267
-3625164.36177694,691811.902461816,25391,3171021002,KARANG ANYAR,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,33383,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,1916,37,Okt,2021,Okt_2021,0.657262444025197,0.465270431550933,0.588909627001478,1.03970081424185,0.768972904020661,0.338903256933986,0.463305655736961,1.08542655872613,22.7208077691187,0.804969648897572,6.33474749338447
-3625381.12250126,693399.807302115,25394,3171021005,MANGGA DUA SELATAN,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,35906,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,1937,36,Okt,2021,Okt_2021,0.667929678635513,1.00020883501914,0.527663123264387,1.18727280478401,0.840957771998919,0.481193038575695,0.74562777556393,0.96662052676376,22.4344055943197,0.841304204523455,7.89631414966064
-3626870.14933294,690234.073520433,25386,3171011003,PETOJO UTARA,317101,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,21828,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,1434,24,Okt,2021,Okt_2021,1.4848353628183,0.683321790071882,0.411219882076975,0.805584486006981,0.669088295621973,0.200224776763557,0.169154558979071,0.377241710885739,21.2133644666301,0.475362706058684,4.80948745666497
-3623604.00594103,689027.027917683,25403,3171041001,SENEN,317104,DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,8643,DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,982,16,Okt,2021,Okt_2021,1.14307602507675,0.540006663837468,0.159292156573969,1.56603233494157,2.38532478042312,0.180668122325972,0.567485174434777,0.603688914550155,24.6388860939889,0.0931726551683398,4.00037872080469
-3622556.55494593,689713.104506081,25408,3171041006,BUNGUR,317104,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,23001,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,1436,26,Okt,2021,Okt_2021,1.54791613383538,1.13828610933743,0.658125633196312,2.37416723708639,1.34336735302162,0.177704399285531,0.836082489690026,0.982369607020413,25.555534611538,1.32881524311097,5.09814039529602
-3619380.27971028,689350.556963218,25409,3171051001,CEMPAKA PUTIH TIMUR,317105,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,29735,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,3093,54,Okt,2021,Okt_2021,3.35570053891948,2.47064568956211,0.130706975680594,1.48535589619192,3.38460852256669,0.779483635253087,1.2806907334426,1.13574624371547,28.7502648767547,0.680331020345915,5.03037181510188
