X,Y,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Meninggal,Month,Year,Month_Year
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,6,1,Jul,"2020",Jul_2020
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,8,1,Aug,"2020",Aug_2020
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,29,1,Sep,"2020",Sep_2020
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,43,2,Oct,"2020",Oct_2020
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,56,3,Nov,"2020",Nov_2020
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,86,3,Dec,"2020",Dec_2020
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,153,4,Jan,"2021",Jan_2021
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,227,5,Feb,"2021",Feb_2021
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,281,6,Mar,"2021",Mar_2021
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,315,9,Apr,"2021",Apr_2021
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,343,10,May,"2021",May_2021
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,478,11,Jun,"2021",Jun_2021
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,774,13,Jul,"2021",Jul_2021
-3627326.75158001,692881.097037157,25478,"3173031007",GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,798,18,Aug,"2021",Aug_2021
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,2,0,Mar,"2020",Mar_2020
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,11,2,Apr,"2020",Apr_2020
