"OBJECT_ID","KODE_DESA","DESA","KODE","PROVINSI","KAB_KOTA","KECAMATAN","DESA_KELUR","JUMLAH_PEN","Nama_provinsi","nama_kota","nama_kecamatan","nama_kelurahan","POSITIF","Meninggal","Month","Year","Month_Year","geometry"
25435,"3172021003","PAPANGGO",317202,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","PAPANGGO",49062,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","PAPANGGO",2257,37,"Oct","2021","Oct_2021",c(-3619873.2032023, 695492.73252877)
25436,"3172021004","SUNGAI BAMBU",317202,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNGAI BAMBU",37423,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNGAI BAMBU",2168,26,"Oct","2021","Oct_2021",c(-3617910.52131475, 695403.99304723)
25437,"3172021005","KEBON BAWANG",317202,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","KEBON BAWANG",64447,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","KEBON BAWANG",3950,58,"Oct","2021","Oct_2021",c(-3617627.20158777, 696905.563639)
25439,"3172021007","WARAKAS",317202,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","WARAKAS",56502,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","WARAKAS",2985,44,"Oct","2021","Oct_2021",c(-3619071.79389162, 696496.13448659)
25440,"3172031001","KOJA",317203,"DKI JAKARTA","JAKARTA UTARA","KOJA","KOJA",35891,"DKI JAKARTA","JAKARTA UTARA","KOJA","KOJA",2039,38,"Oct","2021","Oct_2021",c(-3616434.14871998, 698784.518752064)
25444,"3172031005","TUGU SELATAN",317203,"DKI JAKARTA","JAKARTA UTARA","KOJA","TUGU SELATAN",49037,"DKI JAKARTA","JAKARTA UTARA","KOJA","TUGU SELATAN",2362,38,"Oct","2021","Oct_2021",c(-3614699.62327256, 695008.736968204)
25445,"3172031006","RAWA BADAK SELATAN",317203,"DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK SELATAN",53360,"DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK SELATAN",2484,43,"Oct","2021","Oct_2021",c(-3616241.43288636, 695413.658967899)
25446,"3172041001","CILINCING",317204,"DKI JAKARTA","JAKARTA UTARA","CILINCING","CILINCING",55102,"DKI JAKARTA","JAKARTA UTARA","CILINCING","CILINCING",2545,55,"Oct","2021","Oct_2021",c(-3610392.30130617, 698457.236121289)
25471,"3173021007","WIJAYA KUSUMA",317302,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","WIJAYA KUSUMA",48348,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","WIJAYA KUSUMA",2865,48,"Oct","2021","Oct_2021",c(-3632135.92815614, 691251.182735168)
25449,"3172041004","KALIBARU",317204,"DKI JAKARTA","JAKARTA UTARA","CILINCING","KALIBARU",86964,"DKI JAKARTA","JAKARTA UTARA","CILINCING","KALI BARU",1747,48,"Oct","2021","Oct_2021",c(-3613661.40933822, 699342.463636949)
25451,"3172041006","ROROTAN",317204,"DKI JAKARTA","JAKARTA UTARA","CILINCING","ROROTAN",50167,"DKI JAKARTA","JAKARTA UTARA","CILINCING","ROROTAN",2381,39,"Oct","2021","Oct_2021",c(-3608662.36069622, 694208.374397813)
25452,"3172041007","SEMPER BARAT",317204,"DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER BARAT",86583,"DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER BARAT",4357,82,"Oct","2021","Oct_2021",c(-3612974.26065135, 696374.583358736)
25453,"3172051001","PADEMANGAN TIMUR",317205,"DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN TIMUR",45083,"DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN TIMUR",5896,59,"Oct","2021","Oct_2021",c(-3622872.27799835, 693768.530617738)
25454,"3172051002","PADEMANGAN BARAT",317205,"DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN BARAT",93530,"DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN BARAT",4968,77,"Oct","2021","Oct_2021",c(-3624323.99035664, 694417.570465512)
25455,"3172051003","ANCOL",317205,"DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","ANCOL",29886,"DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","ANCOL",1929,27,"Oct","2021","Oct_2021",c(-3624818.70495604, 695764.330800849)
25456,"3172061001","KELAPA GADING TIMUR",317206,"DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","KELAPA GADING TIMUR",40012,"DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","KELAPA GADING TIMUR",4087,63,"Oct","2021","Oct_2021",c(-3615277.46603988, 690636.11244186)
25459,"3173011001","CENGKARENG BARAT",317301,"DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG BARAT",80638,"DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG BARAT",5593,104,"Oct","2021","Oct_2021",c(-3639046.06813889, 692984.113831655)
